stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066238.891167,10,-0.219757,-0.041919,0.575331,0.516371,0.670347,-0.268241,0.460481,-0.219608,-0.041966,0.575451,0.515779,0.671476,-0.267892,0.459702,0.000197,0.175756,0.000000,1.174348,0.851536
1767066238.924426,10,-0.219787,-0.041805,0.575885,0.515338,0.670391,-0.269798,0.460664,-0.219815,-0.041696,0.576417,0.514079,0.670440,-0.271694,0.460885,0.000543,0.262075,0.000000,1.164853,0.858477
1767066238.958046,10,-0.219404,-0.041761,0.575372,0.514591,0.671042,-0.270707,0.460017,-0.219038,-0.041720,0.574882,0.513683,0.671831,-0.271809,0.459231,0.000613,0.207470,0.000000,1.199403,0.833748
1767066238.991421,10,-0.219387,-0.041783,0.575222,0.514916,0.671044,-0.270387,0.459840,-0.219372,-0.041804,0.575080,0.515311,0.671046,-0.269997,0.459624,0.000145,0.068224,0.000000,1.286086,0.777553
1767066239.024919,10,-0.219661,-0.041806,0.575555,0.515461,0.670702,-0.270001,0.459954,-0.219923,-0.041828,0.575873,0.516123,0.670286,-0.269532,0.460093,0.000412,0.105628,0.000000,1.198000,0.834724
1767066239.058424,10,-0.220340,-0.041861,0.576278,0.516726,0.669305,-0.268627,0.461373,-0.220988,-0.041913,0.576967,0.518255,0.667602,-0.266957,0.463091,0.000948,0.379671,0.000000,1.147558,0.871416
1767066239.091670,10,-0.220689,-0.041880,0.576489,0.517721,0.668504,-0.267850,0.461870,-0.221023,-0.041898,0.576692,0.518932,0.667526,-0.266904,0.462473,0.000391,0.219896,0.000000,1.037390,0.963957
1767066239.125292,10,-0.220717,-0.041825,0.576505,0.517537,0.668366,-0.268235,0.462051,-0.220744,-0.041773,0.576519,0.517314,0.668200,-0.268703,0.462270,0.000060,0.067187,0.000000,1.065496,0.938530
1767066239.158677,10,-0.220777,-0.041881,0.576456,0.518168,0.668241,-0.267689,0.461843,-0.220835,-0.041934,0.576409,0.518933,0.668088,-0.267025,0.461589,0.000091,0.120977,0.000000,1.150762,0.868990
1767066239.192186,10,-0.220683,-0.041742,0.576700,0.517218,0.668518,-0.269464,0.461474,-0.220593,-0.041609,0.576933,0.516062,0.668850,-0.271618,0.461024,0.000283,0.287311,0.000000,1.100521,0.908661
1767066239.225688,10,-0.220716,-0.041743,0.576776,0.517301,0.668677,-0.269856,0.460920,-0.220748,-0.041743,0.576848,0.517402,0.668870,-0.270332,0.460248,0.000079,0.097635,0.000000,1.142726,0.875100
1767066239.258920,10,-0.220811,-0.041590,0.577394,0.516128,0.668649,-0.271456,0.461338,-0.220901,-0.041444,0.577986,0.514696,0.668610,-0.273403,0.461843,0.000617,0.282956,0.000000,1.180850,0.846847
1767066239.292557,10,-0.220620,-0.041654,0.576879,0.516112,0.668765,-0.271146,0.461369,-0.220439,-0.041715,0.576388,0.516092,0.668907,-0.270771,0.461407,0.000527,0.046247,0.000000,1.107869,0.902634
1767066239.325993,10,-0.220383,-0.041880,0.576025,0.517189,0.669199,-0.268198,0.461257,-0.220157,-0.042095,0.575210,0.518491,0.669716,-0.264613,0.461115,0.000873,0.441293,0.000000,1.047511,0.954644
1767066239.359495,10,-0.220161,-0.041918,0.575513,0.517581,0.669154,-0.267586,0.461237,-0.219950,-0.041954,0.575024,0.518056,0.669100,-0.266843,0.461213,0.000534,0.101263,0.000000,1.144362,0.873849
